comparison,n,mean_difference_ms,paired_bootstrap95_low_ms,paired_bootstrap95_high_ms,wilcoxon_p,holm_adjusted_p
C0_DIRECT_SLM vs C8_FINAL_UIR_B6,600,-9044.477153506667,-9239.656917631582,-8847.176543951544,5.978238429493547e-100,4.782583266749844e-99
C1_NAIVE_RAG vs C8_FINAL_UIR_B6,600,-12028.58666431,-12177.446861391541,-11879.292017030999,5.978238429493547e-100,4.782583266749844e-99
C2_RAG_EXISTENCE_CHECK vs C8_FINAL_UIR_B6,600,-7810.251316016667,-8119.779193152498,-7502.574713066292,8.966530095962519e-100,4.782583266749844e-99
C3_JSON_SCHEMA_STRUCTURED vs C8_FINAL_UIR_B6,600,-10356.069204115,-10493.24122488829,-10221.000353764126,5.978229083437305e-100,4.782583266749844e-99
C4_TOOL_CALLING_AGENT vs C8_FINAL_UIR_B6,600,-18642.457560031668,-18923.50670709879,-18370.500321843545,5.978238429493547e-100,4.782583266749844e-99
C5_GUARDRAIL_STYLE vs C8_FINAL_UIR_B6,600,-4612.422039994999,-4861.9236865862085,-4368.175597601667,6.001991682598811e-94,1.2003983365197623e-93
C6_CORRECTIVE_RETRIEVAL vs C8_FINAL_UIR_B6,600,-3311.686716445,-3609.637705243791,-3021.3565307730414,8.312736823566145e-37,8.312736823566145e-37
C7_GRAPH_STRUCTURED_RAG vs C8_FINAL_UIR_B6,600,-9408.30946071,-9603.749838861042,-9213.460953133916,5.978229083437305e-100,4.782583266749844e-99
