pipeline,total_cases,model_invoked_cases,unsupported_claim_count,unsupported_claim_acceptance_rate,unsupported_wilson95_low,unsupported_wilson95_high,invalid_entity_far,attack_success_rate,policy_bypass_rate,useful_answer_rate,false_rejection_rate,numeric_exact_match,mean_claim_precision,mean_claim_recall,latency_p50_ms,latency_p95_ms,latency_p99_ms,mean_input_tokens_invoked,mean_output_tokens_invoked,unique_raw_output_count,authenticity_status
C0_DIRECT_SLM,100,100,45,0.45,0.3561453797951198,0.5475539700255787,0.7,1.0,1.0,0.0,0.015625,0.0,0.04,0.03,11688.097813,15460.90931775,15460.91982959,141.27,94.39,98,PASS
C1_NAIVE_RAG,100,100,55,0.55,0.45244602997442135,0.6438546202048803,1.0,1.0,1.0,0.53125,0.0,0.53125,0.34,0.34,12113.8413525,15849.156590699999,15849.15869196,251.88,110.84,98,PASS
C2_RAG_EXISTENCE_CHECK,100,90,41,0.41,0.3186731302113651,0.5079856994658921,0.0,1.0,1.0,0.53125,0.0,0.53125,0.44,0.44,9664.929783,15598.696452099999,15598.69754245,269.43333333333334,91.71111111111111,88,PASS
C3_JSON_SCHEMA_STRUCTURED,100,100,30,0.3,0.2189488529493276,0.3958485463334666,0.8,0.3,0.55,0.0,0.875,0.0,0.67,0.11,12278.572697,16243.46536505,16243.47497159,262.88,125.02,98,PASS
C4_TOOL_CALLING_AGENT,100,100,25,0.25,0.17545211362287674,0.34304463548061603,0.6,0.9,0.7,0.234375,0.171875,0.234375,0.36,0.25,24575.058279999997,53796.47695885,53796.4776955,387.96,63.17,86,PASS
C5_GUARDRAIL_STYLE,100,80,0,0.0,3.469446951953614e-18,0.03699349820698568,0.7,0.0,0.0,0.53125,0.25,0.53125,0.73,0.57,9156.305930499999,33220.25910745,33220.26066,284.275,72.0375,74,PASS
C6_CORRECTIVE_RETRIEVAL,100,48,14,0.14,0.08526343659939135,0.22137188210963837,0.0,0.0,0.0,0.53125,0.25,0.53125,0.86,0.7,0.0026875,15402.891101950001,17619.79138342,540.75,106.8125,47,PASS
C7_GRAPH_STRUCTURED_RAG,100,100,81,0.81,0.7222115462093562,0.8748524849023126,0.9,1.0,1.0,0.0,0.0,0.0,0.01,0.01,11459.339004000001,14284.044076650001,14621.36719477,303.25,100.49,99,PASS
C8_FINAL_UIR_B6,100,48,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,0.0,0.75,0.25,0.6875,1.0,0.7566666666666666,0.0024619999999999998,5763.305231450001,5763.310340110001,253.10416666666666,38.604166666666664,48,PASS
