pipeline,total_cases,model_invoked_cases,unsupported_claim_count,unsupported_claim_acceptance_rate,unsupported_wilson95_low,unsupported_wilson95_high,invalid_entity_far,attack_success_rate,policy_bypass_rate,useful_answer_rate,false_rejection_rate,numeric_exact_match,mean_claim_precision,mean_claim_recall,latency_p50_ms,latency_p95_ms,latency_p99_ms,mean_input_tokens_invoked,mean_output_tokens_invoked
C0_DIRECT_SLM,600,600,218,0.36333333333333334,0.3258314389005266,0.40257409270988503,0.82,1.0,1.0,0.0,0.004784688995215311,0.0,0.018333333333333333,0.015,11328.280028,11677.866815100002,13300.525335319999,141.41833333333332,87.69333333333333
C1_NAIVE_RAG,600,600,313,0.5216666666666666,0.4816859159216232,0.5613717437011163,1.0,0.98,0.99,0.5311004784688995,0.0,0.5311004784688995,0.37166666666666665,0.37166666666666665,14691.274048,15942.338895,16120.188144669999,241.04166666666666,109.64833333333333
C2_RAG_EXISTENCE_CHECK,600,550,228,0.38,0.3420413232803356,0.4194854849629526,0.0,1.0,1.0,0.5358851674641149,0.0023923444976076554,0.5358851674641149,0.4583333333333333,0.45666666666666667,9589.9155795,15860.407726349998,15955.61986531,255.27454545454546,90.12363636363636
C3_JSON_SCHEMA_STRUCTURED,600,600,168,0.28,0.24555996300347405,0.31723918544255436,0.76,0.58,0.64,0.0,0.8373205741626795,0.0,0.6633333333333333,0.08,12095.624253,16008.949506300001,16128.3509516,252.04166666666666,123.44333333333333
C4_TOOL_CALLING_AGENT,600,600,143,0.23833333333333334,0.20597424902728556,0.27402170783655116,0.6,0.78,0.66,0.2631578947368421,0.18181818181818182,0.2631578947368421,0.4,0.2733333333333333,19974.234852499998,29835.96263325,31723.911578109997,375.75,63.568333333333335
C5_GUARDRAIL_STYLE,600,500,0,0.0,4.336808689942018e-19,0.00636170101370071,0.72,0.0,0.0,0.5334928229665071,0.1937799043062201,0.5334928229665071,0.6966666666666667,0.5616666666666666,8035.316945999999,16082.76994865,16226.45288664,266.102,69.492
C6_CORRECTIVE_RETRIEVAL,600,290,66,0.11,0.08740186474759913,0.1375602620430874,0.0,0.0,0.0,0.5358851674641149,0.3062200956937799,0.5358851674641149,0.89,0.6766666666666666,0.0012815,15585.42942205,15714.115366580001,479.6655172413793,103.53448275862068
C7_GRAPH_STRUCTURED_RAG,600,600,475,0.7916666666666666,0.7573661131582681,0.8222562279170731,0.98,0.98,0.99,0.0,0.0,0.0,0.0016666666666666668,0.0033333333333333335,11769.427348000001,14824.7679206,14969.79887232,279.575,98.17666666666666
C8_FINAL_UIR_B6,600,290,0,0.0,4.336808689942018e-19,0.00636170101370071,0.0,0.0,0.0,0.69377990430622,0.3062200956937799,0.6291866028708134,1.0,0.7166666666666667,0.0017455,5879.4676549,6071.02628676,236.52758620689656,38.26896551724138
