comparison,n,mean_difference,paired_bootstrap95_low,paired_bootstrap95_high,mcnemar_exact_p,holm_adjusted_p
C0_DIRECT_SLM vs C8_FINAL_UIR_B6,600,0.48333333333333334,0.44333333333333336,0.5233333333333333,1.0053823416929744e-87,8.043058733543795e-87
C1_NAIVE_RAG vs C8_FINAL_UIR_B6,600,0.11333333333333333,0.08833333333333333,0.14,6.776263578034403e-21,2.710505431213761e-20
C2_RAG_EXISTENCE_CHECK vs C8_FINAL_UIR_B6,600,0.11,0.085,0.135,2.710505431213761e-20,5.421010862427522e-20
C3_JSON_SCHEMA_STRUCTURED vs C8_FINAL_UIR_B6,600,0.48333333333333334,0.44333333333333336,0.5233333333333333,1.0053823416929744e-87,8.043058733543795e-87
C4_TOOL_CALLING_AGENT vs C8_FINAL_UIR_B6,600,0.3,0.265,0.33666666666666667,1.305060893599705e-54,6.525304467998525e-54
C5_GUARDRAIL_STYLE vs C8_FINAL_UIR_B6,600,0.11166666666666666,0.08666666666666667,0.13833333333333334,1.3552527156068805e-20,4.0657581468206416e-20
C6_CORRECTIVE_RETRIEVAL vs C8_FINAL_UIR_B6,600,0.11,0.085,0.135,2.710505431213761e-20,5.421010862427522e-20
C7_GRAPH_STRUCTURED_RAG vs C8_FINAL_UIR_B6,600,0.48333333333333334,0.44333333333333336,0.5233333333333333,1.0053823416929744e-87,8.043058733543795e-87
