comparison,n,n01,n10,risk_difference,newcombe95_low,newcombe95_high,mcnemar_exact_p,holm_adjusted_p
C0_DIRECT_SLM vs C8_FINAL_UIR_B6,600,218,0,0.36333333333333334,0.32529567665160414,0.40257409270988503,4.7477838728798994e-66,2.3738919364399497e-65
C1_NAIVE_RAG vs C8_FINAL_UIR_B6,600,313,0,0.5216666666666666,0.48118294561826236,0.5613717437011163,1.1985091468012028e-94,8.389564027608419e-94
C2_RAG_EXISTENCE_CHECK vs C8_FINAL_UIR_B6,600,228,0,0.38,0.34151191901256034,0.4194854849629526,4.636507688359277e-69,2.781904613015566e-68
C3_JSON_SCHEMA_STRUCTURED vs C8_FINAL_UIR_B6,600,168,0,0.28,0.24497733036860558,0.31723918544255436,5.345529420184391e-51,2.1382117680737565e-50
C4_TOOL_CALLING_AGENT vs C8_FINAL_UIR_B6,600,143,0,0.23833333333333334,0.20535483159487306,0.27402170783655116,1.793662034335766e-43,5.3809861030072976e-43
C5_GUARDRAIL_STYLE vs C8_FINAL_UIR_B6,600,0,0,0.0,-0.00636170101370071,0.00636170101370071,1.0,1.0
C6_CORRECTIVE_RETRIEVAL vs C8_FINAL_UIR_B6,600,66,0,0.11,0.0865234807376919,0.1375602620430874,2.710505431213761e-20,5.421010862427522e-20
C7_GRAPH_STRUCTURED_RAG vs C8_FINAL_UIR_B6,600,475,0,0.7916666666666666,0.7567811508933513,0.8222562279170731,2.0501330894674953e-143,1.6401064715739963e-142
